rho,z_maxima
0.8,-7.77925284200653e-23
0.8,-3.277822406520704e-22
0.8,-2.4158124556153103e-23
0.8,-1.673213486772612e-23
0.8,-3.497357909266155e-23
0.8,-6.145107209163942e-23
0.9,-3.867835746314504e-22
0.9,-2.946780780620032e-23
0.9,-2.0048400859055742e-23
0.9,-4.177266238207312e-23
0.9,-7.379617075106326e-23
0.9,-4.1124024474083244e-23
0.9,-2.8118005745922264e-23
0.9,-5.419968516243074e-23
0.9,-9.207529223230635e-23
1.0,-4.544288398549704e-22
1.0,-3.668329072040023e-23
1.0,-2.4251141597819826e-23
1.0,-5.008284741021756e-23
1.0,-8.86800878040186e-23
1.0,-5.0498143048556885e-23
1.0,-3.358524981672249e-23
1.0,-6.454891370210273e-23
1.0,-1.1043187500037335e-22
17.2,16.20000007679621
17.2,16.200000065798285
17.3,16.300000121072664
17.3,16.30000007934634
17.3,16.300000067557985
17.3,16.300000059259112
17.3,16.30000005314111
17.3,16.300000056838623
17.3,16.300000049845448
17.400000000000002,16.400000119742245
17.400000000000002,16.400000152139402
17.400000000000002,16.400000087753398
17.400000000000002,16.400000068068508
17.400000000000002,16.40000008842661
17.400000000000002,16.400000078187464
17.400000000000002,16.400000066343157
17.400000000000002,16.400000074059655
17.400000000000002,16.4000000673977
17.400000000000002,16.40000006149868
17.400000000000002,16.4000000625379
17.400000000000002,16.40000005598781
17.400000000000002,16.40000005694765
17.400000000000002,16.400000051266122
17.400000000000002,16.40000004586621
17.5,16.500000181377075
17.5,16.500000171016257
17.5,16.500000159370394
17.5,16.50000015375021
17.5,16.50000014382294
17.5,16.500000137705566
17.5,16.500000131449372
17.5,16.50000012423618
17.5,16.500000120527094
17.5,16.500000113300487
17.5,16.50000010913361
17.5,16.500000103563604
17.5,16.500000096757862
17.5,16.50000008654547
17.5,16.500000080571223
17.6,16.60000022637172
17.6,16.600000228669124
17.6,16.600000192639055
17.6,16.600000197202167
17.6,16.60000016316983
17.6,16.600000174459232
17.6,16.60000016174545
17.6,16.600000142800752
17.6,16.600000147863206
17.6,16.600000137620356
17.6,16.60000012540779
17.6,16.600000125546522
17.6,16.60000011231932
17.6,16.600000113771344
17.6,16.600000103215887
17.6,16.600000103313224
17.6,16.60000009694835
17.6,16.600000094380945
17.6,16.60000009095021
17.6,16.600000086614692
17.6,16.60000008292066
17.6,16.600000075481326
17.6,16.6000000689267
17.6,16.60000006483953
17.7,16.700000313223434
17.7,16.700000296072727
17.7,16.700000279576305
17.7,16.70000026410668
17.7,16.70000024945917
17.7,16.70000023534688
17.7,16.70000022237474
17.7,16.700000209422463
17.7,16.700000197897037
17.7,16.700000186049692
17.7,16.700000175677513
17.7,16.70000016499137
17.7,16.7000001554469
17.7,16.70000014602012
17.7,16.700000136901348
17.7,16.700000128891094
17.7,16.700000081486632
17.7,16.700000072723256
17.7,16.700000066988007
17.7,16.700000062035706
17.7,16.700000057711275
17.7,16.700000054927834
17.7,16.700000051128995
17.8,16.800000461140883
17.8,16.80000043735731
17.8,16.80000042381975
17.8,16.800000393178962
17.8,16.80000038274395
17.8,16.800000355507645
17.8,16.80000034404689
17.8,16.800000323726707
17.8,16.800000306955205
17.8,16.80000029600079
17.8,16.800000270981673
17.8,16.800000270495683
17.8,16.8000002365675
17.8,16.800000246331926
17.8,16.80000020904278
17.8,16.800000222912484
17.8,16.800000192746605
17.8,16.80000019926073
17.8,16.80000018947537
17.8,16.800000163948418
17.8,16.800000176482893
17.8,16.800000130985744
17.8,16.80000013633087
17.8,16.800000152004873
17.8,16.80000010695913
17.8,16.800000136676655
17.8,16.80000008776729
17.900000000000002,16.90000058133726
17.900000000000002,16.90000055395246
17.900000000000002,16.90000053695767
17.900000000000002,16.90000050327592
17.900000000000002,16.900000487489738
17.900000000000002,16.90000046397137
17.900000000000002,16.90000045004507
17.900000000000002,16.900000420882762
17.900000000000002,16.900000410024592
17.900000000000002,16.900000383629557
17.900000000000002,16.900000372586437
17.900000000000002,16.900000351445883
17.900000000000002,16.900000336963867
17.900000000000002,16.900000322876497
